order_id,date,region,product,salesperson,channel,quantity,price,sales,cost,notes,irrelevant_column
10000,2024-11-23,South,Widget E,Grace,Online,8,48.53,388.24,298.26,ok,extra2
10001,2024-12-25,EAST,Widget C,Eva,Online,19,59.25,1125.75,939.61,ok,extra14
10002,2024-11-05, SOUTH ,Widget E,David,Wholesale,15,109.56,1643.4,1456.97,ok,extra5
10003,2024-02-21,South,Widget E,Carol,Wholesale,12,36.72,440.64,254.53,ok,extra47
10004,2024-04-22,West,Widget E,Frank,Online,2,49.66,99.32,41.32,ok,extra42
10005,2024-10-14,west,Widget A,Alice,Online,14,180.08,2521.12,1511.92,ok,extra10
10006,2024-08-27, SOUTH ,Widget A,Eva,Retail,1,137.66,137.66,62.95,ok,extra11
10007,2024-04-01,East,Widget E,Alice,Wholesale,10,169.13,1691.3,1105.83,ok,extra21
10008,2024-05-02,East,Widget B,Helen,Wholesale,3,21.7,65.1,41.86,ok,extra11
10009,2024-12-19, SOUTH ,Widget A,David,Wholesale,12,,1085.16,714.89,ok,extra15
10010,2024-06-18,west,Widget B,Helen,Retail,16,46.78,748.48,348.91,ok,extra13
10011,2024-01-28,West,Widget B,Helen,Online,4,16.82,67.28,51.41,ok,extra28
10012,2024-10-08,,Widget D,Helen,Retail,18,168.03,3024.54,2675.2,ok,extra14
10013,2024-08-20,North,Widget E,Alice,Wholesale,18,134.06,2413.08,1552.42,ok,extra21
10014,2024-09-17,West,Widget E,Alice,Wholesale,20,18.25,365.0,303.28,ok,extra6
10015,2024-06-09,South,Widget A,David,Wholesale,10,-94.16,941.6,814.02,ok,extra17
10016,2024-08-12,north,widget a,Bob,Online,20,196.85,3937.0,3163.58,ok,extra17
10017,2024-06-24,EAST, Widget B ,Eva,Online,9,103.55,931.95,489.8,ok,extra1
10018,2024-13-40, SOUTH ,Widget E,Carol,Retail,3,189.28,567.84,423.33,ok,extra9
10019,2024-07-02,East,Widget B,Carol,Online,4,,295.88,201.18,ok,extra27
10020,2024-05-07,west,Widget C,Eva,Online,4,,318.4,133.52,ok,extra15
10021,2024-05-22,north,Widget A,Bob,Wholesale,18,69.57,1252.26,518.19,ok,extra28
10022,2024-10-22,West,Widget C,Grace,Online,14,5.33,74.62,64.38,ok,extra43
10023,2024-09-16,EAST,widget a,Carol,Wholesale,13,140.96,1832.48,,ok,extra37
10024,2024-10-23,East,widget a,Bob,Retail,15,91.22,1368.3,693.52,ok,extra33
10025,2024-06-07,west,Widget D,David,Wholesale,1,14.01,14.01,12.5,ok,extra45
10026,2024-02-24,East, Widget B ,Helen,Wholesale,17,95.59,1625.03,1102.91,ok,extra34
10027,2024-09-15,West, Widget B ,Eva,Wholesale,15,179.96,2699.4,2083.47,ok,extra32
10028,2024-06-12,EAST,Widget C,Helen,Retail,5,50.1,250.5,187.12,ok,extra4
10029,2024-13-40,West,Widget D,David,Retail,12,63.23,758.76,451.46,ok,extra28
10030,2024-08-27,EAST,Widget B,Helen,Online,18,10.26,184.68,110.26,ok,extra4
10031,2024-05-22,,Widget B,Bob,Wholesale,9,167.81,1510.29,959.27,ok,extra3
10032,2024-03-05,South, Widget B ,Carol,Retail,7,95.68,669.76,353.71,ok,extra7
10033,2024-04-11,South, Widget B ,Alice,Retail,8,24.87,198.96,156.43,ok,extra35
10034,2024-09-07,north,Widget E,Helen,Retail,15,142.93,2143.95,1324.41,ok,extra28
10035,2024-05-22, SOUTH ,Widget B,Helen,Online,15,116.12,1741.8,1278.65,ok,extra23
10036,2024-01-06,west,Widget D,Alice,Online,8,145.41,1163.28,749.49,ok,extra19
10037,2024-09-28,South,widget a,David,Retail,18,69.5,1251.0,940.04,ok,extra8
10038,2024-05-21, SOUTH ,Widget B,Eva,Online,17,121.37,2063.29,1836.85,ok,extra46
10039,2024-03-05,East,Widget A,Eva,Retail,4,175.18,700.72,481.42,ok,extra8
10040,2024-03-17,West, Widget B ,Grace,Retail,3,198.81,596.43,273.9,ok,extra29
10041,2024-02-20,East,Widget A,Grace,Retail,7,56.61,396.27,174.59,ok,extra45
10042,2024-08-20,EAST,Widget A,David,Wholesale,9,158.63,1427.67,1017.26,ok,extra10
10043,2024-10-18,,Widget D,Bob,Wholesale,15,139.29,2089.35,1566.73,ok,extra3
10044,2024-12-11,East,Widget D,Helen,Retail,1,199.92,199.92,147.17,ok,extra12
10045,2024-07-28,North,Widget D,Bob,Retail,6,69.31,415.86,310.58,ok,extra17
10046,2024-12-02,North,Widget B,Eva,Wholesale,2,41.58,83.16,48.31,ok,extra9
10047,2024-11-07,South,Widget D,Bob,Wholesale,10,112.41,1124.1,760.03,ok,extra10
10048,2024-08-29,South,Widget C,Grace,Retail,13,42.17,,383.58,ok,extra33
10049,2024-12-03, SOUTH , Widget B ,David,Wholesale,18,99.45,1790.1,1013.59,ok,extra16
10050,2024-12-27,South, Widget B ,Helen,Online,5,101.59,999999.99,212.58,ok,extra34
10051,2024-02-08,EAST,Widget C,Helen,Wholesale,11,126.54,1391.94,833.41,ok,extra3
10052,2024-02-16,North,Widget C,Frank,Retail,4,91.52,366.08,273.46,ok,extra28
10053,2024-02-10,west,Widget C,Alice,Retail,8,102.05,816.4,564.6,ok,extra19
10054,2024-11-23,West,Widget D,Frank,Wholesale,15,169.83,2547.45,1272.73,ok,extra19
10055,2024-10-16,West,Widget E,Frank,Online,2,182.57,365.14,282.1,ok,extra41
10056,2024-03-11,South,Widget C,Frank,Wholesale,2,65.24,130.48,80.95,ok,extra27
10057,2024-05-19,west,Widget A,Carol,Online,16,193.64,3098.24,1696.51,ok,extra44
10058,07/21/2024, SOUTH ,Widget A,David,Retail,15,76.87,1153.05,893.04,ok,extra2
10059,2024-11-21,west,Widget A,Bob,Online,10,131.6,1316.0,603.17,ok,extra35
10060,2024-08-02,north,Widget A,Frank,Online,14,132.71,1857.94,1517.65,ok,extra29
10061,2024-11-26,West,widget a,Alice,Online,7,193.8,1356.6,1186.35,ok,extra22
10062,2024-04-16,East,Widget B,Eva,Online,8,-69.07,,,ok,extra8
10063,06/14/2024, SOUTH ,Widget E,Bob,Retail,5,149.64,748.2,496.09,ok,extra33
10064,2024-06-03,west,Widget A,Bob,Retail,2,199.72,399.44,329.0,ok,extra39
10065,2024-07-14,West,Widget D,Helen,Online,15,103.58,1553.7,955.68,ok,extra27
10066,2024-12-06, SOUTH , Widget B ,Carol,Wholesale,16,18.09,289.44,236.15,ok,extra4
10067,2024-12-06,West,Widget B,Helen,Online,2,193.84,387.68,271.46,ok,extra7
10068,2024-08-07,north,Widget A,Carol,Retail,20,124.65,2493.0,1798.32,ok,extra45
10069,2024-12-02,East,Widget C,Eva,Wholesale,1,22.89,22.89,15.23,ok,extra21
10070,2024-11-12,South,Widget C,Grace,Online,15,134.08,2011.2,1292.86,ok,extra19
10071,2024-11-02,west,widget a,Grace,Online,7,154.63,1082.41,846.53,ok,extra9
10072,2024-02-06,EAST,widget a,Grace,Retail,14,8.65,121.1,104.22,ok,extra8
10073,2024-12-19,north,widget a,Frank,Online,4,52.45,209.8,145.69,ok,extra22
10074,2024-06-27,South,Widget B,Helen,Retail,5,51.07,255.35,120.84,ok,extra49
10075,2024-11-15,north,Widget E,Alice,Retail,11,34.44,378.84,164.47,ok,extra33
10076,2024-11-26,North,Widget D,David,Retail,20,120.85,2417.0,1431.45,ok,extra39
10077,2024-06-24,East,Widget C,Frank,Retail,6,12.63,75.78,57.12,ok,extra25
10078,2024-02-03,East,Widget C,Bob,Wholesale,13,60.41,785.33,598.32,ok,extra43
10079,2024-10-31,South,widget a,Grace,Wholesale,18,,1412.1,1123.79,ok,extra24
10080,2024-04-08,North,widget a,Frank,Wholesale,3,62.68,188.04,149.32,ok,extra9
